NOM;PRENOM;GROUPE1;GROUPE2;OU;ITINERANT;PASSWORD;LOGIN
TREMON;Jonas;g_Commercial;g_direction;Commercial;NON;1.Ab7Xq2Zr9;tremon.j
DALON;Pierre;g_Commercial;BLABLA;Commercial;NON;2.Qw8Tn5Lp3;dalon.p
NOULENT;Marie;g_Commercial;g_stagiaire;Commercial;NON;3.Zk4Mn8Rt2;noulent.m
JOLI;Laurent;g_Commercial;BLABLA;Commercial;NON;4.Jd9Fp6Qw1;joli.l
FILOP;Herbert;g_Commercial;BLABLA;Commercial;NON;5.Ls3Hv7Bn5;filop.h
RETOU;Audrey;g_Commercial;BLABLA;Commercial;NON;6.Rt2Xy9Qm8;retou.a
CHEN;Li;g_Commercial;BLABLA;Commercial;NON;7.Vp6Jk4Zt7;chen.l
ELHOUASSI;Ahmed;g_Commercial;BLABLA;Commercial;NON;8.Nm5Qw8Xr2;elhouassi.a
MACABOU;Désiré;g_Commercial;BLABLA;Commercial;NON;9.Yc7Lp3Hv6;macabou.d
DUPONT;Zora;g_atelier;g_direction;atelier;NON;10.Gt9Bn2Xy5;dupont.z
MOHER;Vladimir;g_atelier;BLABLA;atelier;NON;11.Kq8Zr4Mn7;moher.v
DERMAN;Gus;g_atelier;BLABLA;atelier;NON;12.Hd6Fp9Jw3;derman.g
ATCHOUM;Zelia;g_atelier;BLABLA;atelier;NON;13.Xr2Ls7Hv5;atchoum.z
MONIER;Mathieu;g_atelier;BLABLA;atelier;NON;14.Wm8Qn3Zt6;monier.m
BALEH;Nadia;g_atelier;BLABLA;atelier;NON;15.Pc4Yv9Jk2;baleh.n
ABIAKAR;Antoine;g_atelier;BLABLA;atelier;NON;16.Bt7Xy5Qm9;abiakar.a
MATSUMOTO;Ideyuki;g_atelier;BLABLA;atelier;NON;17.Zr3Lp8Hv6;matsumoto.i
DICKENSON;Karl;g_atelier;BLABLA;atelier;NON;18.Jw9Gt2Bn4;dickenson.k
PAKLING;Kam;g_atelier;g_stagiaire;atelier;NON;19.Qm7Xr5Ls8;pakling.k
PIGEAT;Cyrienne;g_atelier;BLABLA;atelier;NON;20.Hv6Pc9Yv3;pigeat.c
NDONGE;Meriem;g_atelier;BLABLA;atelier;NON;21.Lp2Zt7Jk5;ndonge.m
HADDOUK;Raffik;g_atelier;BLABLA;atelier;NON;22.Mn8Rt4Qw9;haddouk.r
BENSOUSSAN;Rosette;g_atelier;BLABLA;atelier;NON;23.Xy5Hd3Fp7;bensoussan.r
LABRUNE;Jeanne;g_atelier;BLABLA;atelier;NON;24.Vn9Gt6Jw2;labrune.j
